state,population,allVeterans,peacetimeVeterans,wartimeVeterans,ww2,koreanWar,vietnamWar,gulfWar
Alabama,5108468,342999,275152,67847,783,7084,95522,183631
Alaska,733406,71006,58472,12534,0,1113,15310,44750
Arizona,7431344,473375,375407,97968,1902,13757,158361,214296
Arkansas,3067732,203085,158132,44953,520,7288,60988,94258
California,38965193,1474934,1169214,305720,10703,53193,436784,700192
Colorado,5877610,368109,302079,66030,1207,8510,97751,203412
Connecticut,3617176,152197,112491,39706,1892,6619,44756,60181
Delaware,1031890,63391,47658,15733,381,1860,20928,27247
District of Columbia,678972,27916,22168,5748,154,735,6827,14761
Florida,22610726,1412963,1099468,313495,7937,53745,439470,646928
Georgia,11029227,662381,525387,136995,1853,13984,171478,355221
Hawaii,1435138,111345,91901,19444,429,4261,27515,63437
Idaho,1964726,122284,96635,25649,432,4338,37357,57859
Illinois,12549689,621229,504667,116562,3644,18867,160438,329262
Indiana,6862199,371365,282371,88994,1813,9674,112373,164308
Iowa,3207004,181635,139906,41729,626,6645,60009,74886
Kansas,2940546,181272,144797,36475,503,4574,53287,90921
Kentucky,4526154,262161,203473,58688,992,6207,75286,126993
Louisiana,4573749,257382,205744,51638,430,5992,71321,133361
Maine,1395722,106833,82023,24810,477,3619,38310,42402
Maryland,6180253,360098,286803,73295,1925,10424,93462,190811
Massachusetts,7001399,273934,201103,72830,1999,10878,86988,105247
Michigan,10037261,499734,375867,123867,3681,17852,171015,191588
Minnesota,5737915,295703,222276,73426,2555,10681,100509,112154
Mississippi,2939690,182437,144489,37947,702,4114,46800,99105
Missouri,6196156,391555,306057,85498,1886,11130,120487,181351
Montana,1132812,88543,70613,17930,540,3235,27961,40416
Nebraska,1978379,120419,92979,27440,338,4218,34991,56333
Nevada,3194176,208680,162116,46564,676,4658,63963,98440
New Hampshire,1402054,92892,69024,23868,1296,1996,30053,38261
New Jersey,9290841,307611,234369,73242,2386,15092,100269,120498
New Mexico,2114371,153410,122127,31282,76,4175,48491,73181
New York,19571216,662404,495003,167401,5258,31063,200544,267380
North Carolina,10835491,688933,558738,130195,2379,16796,197471,364161
North Dakota,783926,48505,40283,8222,380,1125,12418,27328
Ohio,11785935,669181,510142,159039,3354,19822,212026,285651
Oklahoma,4053824,282482,230027,52455,920,6335,81624,148732
Oregon,4233358,265757,203856,61901,2125,9639,94207,103866
Pennsylvania,12961683,688200,518009,170192,5732,27904,226978,271230
Rhode Island,1095962,55004,43109,11895,659,2529,16307,24704
South Carolina,5373555,390389,312334,78055,1523,9838,112560,203876
South Dakota,919318,64099,51420,12679,168,1719,19223,31985
Tennessee,7126489,434646,341244,93402,1700,9425,132278,211197
Texas,30503301,1538426,1271242,267184,5168,29343,394353,883556
Utah,3417734,129783,109706,20078,1021,3684,38430,70932
Vermont,647464,38592,28429,10163,134,1246,12075,15520
Virginia,8715698,685503,579320,106183,3031,13736,164381,428100
Washington,7812880,509859,411842,98017,2746,12542,156120,253720
West Virginia,1770071,123919,96940,26979,281,3780,39337,55521
Wisconsin,5910955,327195,249520,77675,2554,11353,110672,128325
Wyoming,584057,45444,36693,8751,113,634,14074,22878
Grand Total,334914895,18266970,14420306,3846664,94518,549450,5381726,8842874
